time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,sunshine_duration,daylight_duration,wind_speed_10m_max,wind_gusts_10m_max
2025-05-05 22:00:00+00:00,14.528,-0.82199997,0.2,0.2,0.0,1.0,42675.855,55576.402,16.180988,32.399998
2025-05-06 22:00:00+00:00,10.928,0.878,0.0,0.0,0.0,0.0,31238.848,55793.58,13.609951,31.68
2025-05-07 22:00:00+00:00,10.828,-1.072,0.0,0.0,0.0,0.0,46433.773,56009.133,15.413928,32.760002
2025-05-08 22:00:00+00:00,13.228,0.078,1.4000001,1.4000001,0.0,5.0,19108.844,56223.305,16.165964,32.399998
2025-05-09 22:00:00+00:00,11.778,2.778,0.4,0.4,0.0,3.0,32000.871,56435.9,14.848635,32.399998
2025-05-10 22:00:00+00:00,12.578,-0.122,0.0,0.0,0.0,0.0,41846.17,56646.734,17.25373,37.44
2025-05-11 22:00:00+00:00,13.178,0.92800003,0.0,0.0,0.0,0.0,49647.2,56855.586,11.39842,25.56
2025-05-12 22:00:00+00:00,17.328,-0.622,0.7,0.7,0.0,3.0,44425.25,57062.258,16.554129,34.56
2025-05-13 22:00:00+00:00,17.727999,3.2280002,0.8,0.8,0.0,5.0,30715.414,57266.516,22.707127,48.96
2025-05-14 22:00:00+00:00,3.4780002,2.578,,,,0.0,,57468.152,10.385547,18.72
