time,temperature_2m,relative_humidity_2m,cloud_cover,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,snowfall,precipitation_probability,rain,showers
2025-05-15 00:00:00+00:00,2.063,84.0,0.0,-1.0816829,6.6185193,337.6198,15.119999,0.0,0.0,0.0,0.0
2025-05-15 01:00:00+00:00,1.463,89.0,0.0,-1.6202073,6.4096174,321.8427,11.879999,0.0,0.0,0.0,0.0
2025-05-15 02:00:00+00:00,1.063,91.0,100.0,-2.0338902,6.4096174,308.15726,12.24,0.0,0.0,0.0,0.0
2025-05-15 03:00:00+00:00,0.41300002,96.0,20.0,-2.6417146,6.2145634,280.0079,13.32,0.0,0.0,0.0,0.0
2025-05-15 04:00:00+00:00,2.363,90.0,100.0,-0.78630066,7.9932966,305.83774,15.84,0.0,13.0,0.0,0.0
2025-05-15 05:00:00+00:00,3.913,87.0,100.0,1.0370626,7.342588,258.6901,18.72,0.0,55.0,0.5,0.1
2025-05-15 06:00:00+00:00,4.463,87.0,100.0,1.1367364,11.090103,305.75397,27.0,0.0,55.0,2.0,0.0
2025-05-15 07:00:00+00:00,5.813,79.0,90.0,2.260994,12.594856,329.03632,34.2,0.0,80.0,0.2,0.0
2025-05-15 08:00:00+00:00,7.163,68.0,82.0,3.1490526,14.799459,341.56494,34.56,0.0,78.0,0.0,0.0
2025-05-15 09:00:00+00:00,7.463,66.0,99.0,3.6506023,14.372974,337.93204,38.519997,0.0,80.0,0.0,0.0
2025-05-15 10:00:00+00:00,8.712999,60.0,73.0,4.250431,17.555305,15.461285,39.6,0.0,85.0,0.0,0.0
2025-05-15 11:00:00+00:00,9.563,56.0,94.0,5.6857557,15.84409,1.3019345,39.96,0.0,90.0,0.0,0.0
2025-05-15 12:00:00+00:00,9.263,59.0,98.0,5.135998,15.5843,353.36758,38.16,0.0,90.0,1.0,0.0
2025-05-15 13:00:00+00:00,9.563,58.0,66.0,5.312768,16.62249,355.03033,39.96,0.0,90.0,0.1,0.0
2025-05-15 14:00:00+00:00,9.263,61.0,100.0,5.597005,12.979984,3.179772,37.079998,0.0,48.0,0.0,0.0
2025-05-15 15:00:00+00:00,9.363,60.0,99.0,5.104973,16.87398,348.92984,36.0,0.0,3.0,0.0,0.0
2025-05-15 16:00:00+00:00,8.613,63.0,100.0,4.6075945,15.111424,347.61926,35.64,0.0,3.0,0.0,0.0
2025-05-15 17:00:00+00:00,7.663,76.0,100.0,4.230996,13.37825,336.19403,31.319998,0.0,40.0,0.4,0.0
2025-05-15 18:00:00+00:00,6.863,88.0,97.0,4.286476,9.339208,332.44727,26.64,0.0,95.0,1.4000001,0.0
2025-05-15 19:00:00+00:00,6.513,89.0,94.0,3.511631,11.988594,318.6523,26.28,0.0,83.0,0.70000005,0.0
2025-05-15 20:00:00+00:00,6.413,90.0,98.0,3.3534331,12.475961,313.83093,25.56,0.0,63.0,0.4,0.0
2025-05-15 21:00:00+00:00,6.413,90.0,96.0,3.2930799,12.88981,305.9098,26.28,0.0,43.0,0.0,0.0
2025-05-15 22:00:00+00:00,6.613,88.0,94.0,3.4106479,13.276144,310.60123,28.44,0.0,25.0,0.0,0.0
2025-05-15 23:00:00+00:00,6.463,86.0,81.0,3.0888553,13.783817,310.76352,28.8,0.0,20.0,0.0,0.0
