time,temperature_2m,relative_humidity_2m,cloud_cover,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,snowfall,precipitation_probability,rain,showers
2025-05-16 00:00:00+00:00,6.7,78.0,5.0,2.7335167,16.299694,313.2101,32.760002,0.0,45.0,0.0,0.0
2025-05-16 01:00:00+00:00,6.5,78.0,90.0,2.4971676,16.299694,316.7899,31.68,0.0,28.0,0.0,0.0
2025-05-16 02:00:00+00:00,6.8,78.0,96.0,2.5550013,18.335276,313.4089,35.28,0.0,35.0,0.0,0.0
2025-05-16 03:00:00+00:00,7.3,80.0,100.0,3.0975213,19.171478,325.71307,39.239998,0.0,63.0,0.1,0.0
2025-05-16 04:00:00+00:00,7.25,87.0,100.0,3.3264732,18.892282,329.03632,36.36,0.0,85.0,1.9,0.0
2025-05-16 05:00:00+00:00,7.25,86.0,100.0,3.3055973,18.792551,339.82925,37.44,0.0,83.0,1.1,0.0
2025-05-16 06:00:00+00:00,6.35,82.0,100.0,1.8264332,20.598795,354.98697,36.719997,0.0,70.0,1.3000001,0.0
2025-05-16 07:00:00+00:00,6.4,77.0,97.0,1.7078028,20.674158,7.0011806,39.96,0.0,15.0,0.0,0.0
2025-05-16 08:00:00+00:00,7.1,69.0,96.0,2.321567,20.211363,4.085537,40.32,0.0,10.0,0.0,0.0
2025-05-16 09:00:00+00:00,8.35,64.0,97.0,3.9052,18.089775,5.7105074,40.68,0.0,3.0,0.0,0.0
2025-05-16 10:00:00+00:00,8.7,62.0,90.0,4.1634617,18.584509,8.914849,37.44,0.0,0.0,0.0,0.0
2025-05-16 11:00:00+00:00,9.7,56.0,100.0,5.1833897,18.782204,12.171442,37.079998,0.0,0.0,0.0,0.0
2025-05-16 12:00:00+00:00,9.65,57.0,100.0,5.215332,17.555305,15.461285,36.719997,0.0,0.0,0.0,0.0
2025-05-16 13:00:00+00:00,9.8,62.0,100.0,5.8286,15.986595,7.7650824,34.2,0.0,3.0,0.0,0.0
2025-05-16 14:00:00+00:00,9.25,62.0,100.0,5.3621836,14.764389,358.60284,31.68,0.0,5.0,0.0,0.0
2025-05-16 15:00:00+00:00,9.0,63.0,100.0,5.4921503,12.144331,348.0239,28.08,0.0,15.0,0.0,0.0
2025-05-16 16:00:00+00:00,8.45,62.0,100.0,5.079665,10.30883,335.22488,24.119999,0.0,30.0,0.0,0.0
2025-05-16 17:00:00+00:00,7.5,72.0,100.0,4.2850704,10.691453,315.0001,24.119999,0.0,65.0,0.1,0.0
2025-05-16 18:00:00+00:00,6.4,82.0,100.0,3.4616933,9.793058,287.1028,20.16,0.0,85.0,0.7,0.0
2025-05-16 19:00:00+00:00,6.05,91.0,100.0,3.6857047,7.42159,255.96373,18.359999,0.0,93.0,1.1,0.0
2025-05-16 20:00:00+00:00,6.3,94.0,100.0,3.9515,8.350138,277.4313,18.0,0.0,98.0,1.3,0.0
2025-05-16 21:00:00+00:00,7.25,91.0,100.0,4.213827,13.779114,326.7251,26.64,0.0,100.0,1.4000001,0.0
2025-05-16 22:00:00+00:00,7.1,89.0,100.0,3.2706923,18.511143,346.50424,34.92,0.0,85.0,0.5,0.0
2025-05-16 23:00:00+00:00,5.0,86.0,100.0,0.7592201,17.81909,44.999897,39.239998,0.0,70.0,0.5,0.0
