time,temperature_2m,relative_humidity_2m,cloud_cover,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,snowfall,precipitation_probability,rain,showers
2025-05-16 00:00:00+00:00,6.5655003,77.0,7.0,2.281765,18.075441,315.80682,33.48,0.0,45.0,0.0,0.0
2025-05-16 01:00:00+00:00,6.4155,78.0,88.0,2.097496,18.35647,318.1799,33.48,0.0,28.0,0.0,0.0
2025-05-16 02:00:00+00:00,6.7655,78.0,96.0,2.1439614,20.87379,315.0001,38.16,0.0,35.0,0.0,0.0
2025-05-16 03:00:00+00:00,7.0655003,81.0,100.0,2.5599709,21.178896,328.2011,41.399998,0.0,63.0,0.2,0.0
2025-05-16 04:00:00+00:00,7.1155,87.0,100.0,2.8463721,21.068459,326.853,38.519997,0.0,85.0,2.1000001,0.0
2025-05-16 05:00:00+00:00,7.0655003,86.0,100.0,2.8350873,20.49156,341.56494,40.32,0.0,83.0,0.7,0.0
2025-05-16 06:00:00+00:00,6.2655,82.0,99.0,1.459857,22.42427,354.47253,38.519997,0.0,70.0,0.6,0.0
2025-05-16 07:00:00+00:00,6.1655,78.0,95.0,1.3540449,21.434364,7.7217383,39.96,0.0,15.0,0.0,0.0
2025-05-16 08:00:00+00:00,7.0655003,68.0,96.0,2.0399356,21.626984,2.8623457,42.12,0.0,10.0,0.0,0.0
2025-05-16 09:00:00+00:00,8.315499,64.0,95.0,3.592289,19.959719,7.253105,43.56,0.0,3.0,0.0,0.0
2025-05-16 10:00:00+00:00,8.6154995,62.0,78.0,3.7976618,20.418695,9.13011,39.239998,0.0,0.0,0.0,0.0
2025-05-16 11:00:00+00:00,9.565499,56.0,100.0,4.717619,21.046917,12.8477125,39.6,0.0,0.0,0.0,0.0
2025-05-16 12:00:00+00:00,9.4655,58.0,100.0,4.737916,19.64558,13.781618,40.32,0.0,0.0,0.0,0.0
2025-05-16 13:00:00+00:00,9.565499,63.0,100.0,5.2755823,18.175545,7.969524,36.36,0.0,3.0,0.0,0.0
2025-05-16 14:00:00+00:00,9.0155,62.0,100.0,4.9218683,15.905319,354.80566,34.56,0.0,5.0,0.0,0.0
2025-05-16 15:00:00+00:00,8.815499,64.0,100.0,5.1388235,13.358861,345.9637,28.44,0.0,15.0,0.0,0.0
2025-05-16 16:00:00+00:00,8.3654995,64.0,100.0,4.958605,10.990322,328.39255,25.56,0.0,30.0,0.0,0.0
2025-05-16 17:00:00+00:00,7.2155004,70.0,100.0,3.6433249,12.313894,322.12497,24.48,0.0,65.0,0.1,0.0
2025-05-16 18:00:00+00:00,6.3155003,82.0,100.0,3.3250742,10.041354,284.5345,21.96,0.0,85.0,0.7,0.0
2025-05-16 19:00:00+00:00,5.9655004,91.0,100.0,3.532917,7.771331,256.60748,19.08,0.0,93.0,1.0,0.0
2025-05-16 20:00:00+00:00,6.2655,94.0,100.0,3.726441,9.605998,282.99463,18.359999,0.0,98.0,1.4000001,0.0
2025-05-16 21:00:00+00:00,7.0655003,91.0,100.0,3.9161139,14.277983,326.3099,26.64,0.0,100.0,1.4000001,0.0
2025-05-16 22:00:00+00:00,6.9155,90.0,100.0,3.0180192,18.947083,345.69968,34.56,0.0,85.0,0.5,0.0
2025-05-16 23:00:00+00:00,4.8155003,87.0,95.0,0.59528923,17.654688,39.207188,39.96,0.0,70.0,0.70000005,0.0
