time,temperature_2m,relative_humidity_2m,cloud_cover,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,snowfall,precipitation_probability,rain,showers
2025-05-16 00:00:00+00:00,6.6324997,79.0,56.0,2.5771656,17.057314,314.145,29.88,0.0,58.0,0.0,0.0
2025-05-16 01:00:00+00:00,6.6324997,79.0,85.0,2.3544497,18.584509,315.78473,31.319998,0.0,28.0,0.0,0.0
2025-05-16 02:00:00+00:00,6.8325,79.0,98.0,2.331026,20.371038,316.43204,34.92,0.0,33.0,0.0,0.0
2025-05-16 03:00:00+00:00,7.1825,84.0,100.0,2.904849,20.497883,329.38147,37.8,0.0,65.0,0.4,0.0
2025-05-16 04:00:00+00:00,7.3325,85.0,100.0,2.7601523,22.9724,327.8043,38.88,0.0,88.0,1.7,0.0
2025-05-16 05:00:00+00:00,7.1825,84.0,100.0,2.6184435,22.461807,338.36905,38.519997,0.0,80.0,0.5,0.0
2025-05-16 06:00:00+00:00,6.4325,80.0,100.0,1.7115135,21.599998,360.0,37.8,0.0,60.0,0.2,0.0
2025-05-16 07:00:00+00:00,6.3824997,77.0,94.0,1.5308175,21.746504,6.65433,38.88,0.0,15.0,0.0,0.0
2025-05-16 08:00:00+00:00,7.3824997,66.0,98.0,2.0532932,23.576563,7.016412,41.760002,0.0,10.0,0.0,0.0
2025-05-16 09:00:00+00:00,8.3325,64.0,97.0,3.259015,22.380884,11.129155,42.48,0.0,0.0,0.0,0.0
2025-05-16 10:00:00+00:00,9.0325,61.0,92.0,3.9468365,22.45315,12.030577,39.239998,0.0,0.0,0.0,0.0
2025-05-16 11:00:00+00:00,9.7825,58.0,100.0,4.6733284,22.61419,13.815059,39.239998,0.0,0.0,0.0,0.0
2025-05-16 12:00:00+00:00,9.6825,58.0,100.0,4.785591,21.046917,12.8477125,39.6,0.0,0.0,0.0,0.0
2025-05-16 13:00:00+00:00,9.1825,63.0,100.0,4.5251074,20.240196,5.102074,36.719997,0.0,0.0,0.0,0.0
2025-05-16 14:00:00+00:00,9.1825,63.0,100.0,5.047579,16.65754,353.79663,33.12,0.0,3.0,0.0,0.0
2025-05-16 15:00:00+00:00,9.0825,65.0,100.0,5.411381,13.910169,349.5626,28.44,0.0,8.0,0.0,0.0
2025-05-16 16:00:00+00:00,8.632501,66.0,100.0,5.1899157,12.074766,333.43503,23.759998,0.0,28.0,0.0,0.0
2025-05-16 17:00:00+00:00,7.3824997,67.0,100.0,3.5954561,13.246826,312.7974,23.4,0.0,45.0,0.0,0.0
2025-05-16 18:00:00+00:00,6.4824996,83.0,100.0,3.855873,7.9932976,277.76508,21.96,0.0,85.0,0.70000005,0.0
2025-05-16 19:00:00+00:00,6.1825,90.0,100.0,3.732748,7.968939,251.56496,17.28,0.0,90.0,0.90000004,0.0
2025-05-16 20:00:00+00:00,6.3325,93.0,100.0,3.7569952,9.726665,267.87894,16.199999,0.0,98.0,1.3,0.0
2025-05-16 21:00:00+00:00,7.0825,93.0,100.0,4.4489098,11.246759,320.1945,18.72,0.0,100.0,1.4000001,0.0
2025-05-16 22:00:00+00:00,7.0825,91.0,100.0,3.3705091,18.161278,346.2392,30.960001,0.0,93.0,0.7,0.0
2025-05-16 23:00:00+00:00,5.0325,91.0,100.0,0.9864483,17.566378,45.83023,38.16,0.0,75.0,0.70000005,0.0
