time,temperature_2m,relative_humidity_2m,cloud_cover,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,snowfall,precipitation_probability,rain,showers
2025-05-13 00:00:00+00:00,3.0,80.0,0.0,0.75283,0.71999997,360.0,1.4399999,0.0,0.0,0.0,0.0
2025-05-13 01:00:00+00:00,2.9,79.0,0.0,0.3806157,2.3051248,308.65982,2.52,0.0,0.0,0.0,0.0
2025-05-13 02:00:00+00:00,2.15,81.0,0.0,-0.65886545,3.8939953,326.3099,4.68,0.0,0.0,0.0,0.0
2025-05-13 03:00:00+00:00,1.75,83.0,0.0,-1.0980022,4.1046314,322.12494,5.3999996,0.0,0.0,0.0,0.0
2025-05-13 04:00:00+00:00,2.3,84.0,0.0,-0.40225983,3.8268526,311.18582,5.3999996,0.0,0.0,0.0,0.0
2025-05-13 05:00:00+00:00,4.8,79.0,10.0,2.5411549,2.5455842,278.13,5.3999996,0.0,0.0,0.0,0.0
2025-05-13 06:00:00+00:00,8.25,57.0,19.0,5.314809,5.8048253,277.1249,11.879999,0.0,0.0,0.0,0.0
2025-05-13 07:00:00+00:00,10.8,48.0,5.0,7.7070875,6.87779,276.0089,14.759999,0.0,0.0,0.0,0.0
2025-05-13 08:00:00+00:00,12.7,44.0,84.0,9.789559,7.8954163,294.22772,16.919998,0.0,0.0,0.0,0.0
2025-05-13 09:00:00+00:00,14.0,46.0,69.0,11.52602,7.4128532,299.0545,16.56,0.0,0.0,0.0,0.0
2025-05-13 10:00:00+00:00,15.3,45.0,58.0,13.298218,8.587338,303.02386,18.359999,0.0,3.0,0.0,0.0
2025-05-13 11:00:00+00:00,16.0,45.0,100.0,13.47422,10.00256,329.74365,22.68,0.0,3.0,0.0,0.0
2025-05-13 12:00:00+00:00,16.25,47.0,97.0,13.019377,13.684735,333.43503,26.28,0.0,5.0,0.0,0.0
2025-05-13 13:00:00+00:00,16.75,46.0,99.0,13.979931,10.739833,346.42953,25.919998,0.0,3.0,0.0,0.0
