time,temperature_2m,relative_humidity_2m,cloud_cover,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,snowfall,precipitation_probability,rain,showers
2025-05-15 00:00:00+00:00,1.6155001,88.0,0.0,-1.8378048,8.942214,319.89914,17.28,0.0,0.0,0.0,0.0
2025-05-15 01:00:00+00:00,1.4655,90.0,0.0,-1.8846025,8.404285,316.73566,15.119999,0.0,0.0,0.0,0.0
2025-05-15 02:00:00+00:00,1.3655001,90.0,100.0,-2.013228,8.4963045,306.38446,15.119999,0.0,0.0,0.0,0.0
2025-05-15 03:00:00+00:00,1.3655001,94.0,90.0,-1.928302,8.557102,292.24908,16.56,0.0,0.0,0.0,0.0
2025-05-15 04:00:00+00:00,2.6655,89.0,100.0,-1.1139503,12.475961,316.16904,22.68,0.0,5.0,0.1,0.0
2025-05-15 05:00:00+00:00,3.8155,87.0,100.0,0.7151861,8.766573,250.82089,22.68,0.0,38.0,0.5,0.1
2025-05-15 06:00:00+00:00,3.9155,85.0,100.0,0.03485775,13.849477,297.8972,25.199999,0.0,50.0,0.8,0.0
2025-05-15 07:00:00+00:00,5.8155003,79.0,93.0,2.2452698,12.72283,334.8852,27.72,0.0,90.0,0.0,0.2
2025-05-15 08:00:00+00:00,7.0155,68.0,84.0,2.7615967,16.279802,341.9656,32.760002,0.0,80.0,0.1,0.0
2025-05-15 09:00:00+00:00,7.6655,66.0,100.0,3.6786695,16.299694,6.3401003,37.079998,0.0,80.0,0.0,0.0
2025-05-15 10:00:00+00:00,7.2155004,73.0,0.0,3.4949217,14.05845,357.0644,34.92,0.0,88.0,0.5,0.0
2025-05-15 11:00:00+00:00,9.2155,60.0,82.0,5.7183304,15.856356,357.3975,38.519997,0.0,88.0,0.0,0.0
2025-05-15 12:00:00+00:00,8.815499,59.0,100.0,4.579403,15.84409,1.3019345,38.16,0.0,93.0,0.0,0.0
2025-05-15 13:00:00+00:00,9.315499,63.0,72.0,4.999297,18.057508,355.42615,35.28,0.0,90.0,0.1,0.0
2025-05-15 14:00:00+00:00,9.065499,64.0,97.0,4.8457127,17.377226,346.82742,39.239998,0.0,43.0,0.0,0.0
2025-05-15 15:00:00+00:00,8.9155,61.0,100.0,4.366207,18.64369,349.99207,36.36,0.0,5.0,0.0,0.0
2025-05-15 16:00:00+00:00,8.3654995,65.0,100.0,4.2931595,15.815435,348.17853,34.92,0.0,3.0,0.0,0.0
2025-05-15 17:00:00+00:00,7.3155003,79.0,100.0,3.399879,16.981165,338.8752,32.399998,0.0,40.0,0.4,0.0
2025-05-15 18:00:00+00:00,6.3155003,86.0,100.0,3.4702358,9.957108,319.39877,28.44,0.0,95.0,0.9,0.0
2025-05-15 19:00:00+00:00,6.3155003,88.0,100.0,2.962224,13.896187,323.42688,25.919998,0.0,93.0,0.3,0.0
2025-05-15 20:00:00+00:00,6.2155004,89.0,100.0,2.969821,13.246826,312.7974,26.28,0.0,83.0,0.4,0.0
2025-05-15 21:00:00+00:00,6.3655,89.0,99.0,2.8436809,15.349684,309.28937,29.16,0.0,75.0,0.2,0.0
2025-05-15 22:00:00+00:00,6.4155,87.0,95.0,2.695003,16.323528,311.42358,31.319998,0.0,53.0,0.0,0.0
2025-05-15 23:00:00+00:00,6.5155,83.0,100.0,2.6803908,16.323528,311.42358,32.760002,0.0,53.0,0.0,0.0
2025-05-16 00:00:00+00:00,6.5655003,77.0,7.0,2.281765,18.075441,315.80682,33.48,0.0,45.0,0.0,0.0
2025-05-16 01:00:00+00:00,6.4155,78.0,88.0,2.097496,18.35647,318.1799,33.48,0.0,28.0,0.0,0.0
2025-05-16 02:00:00+00:00,6.7655,78.0,96.0,2.1439614,20.87379,315.0001,38.16,0.0,35.0,0.0,0.0
2025-05-16 03:00:00+00:00,7.0655003,81.0,100.0,2.5599709,21.178896,328.2011,41.399998,0.0,63.0,0.2,0.0
2025-05-16 04:00:00+00:00,7.1155,87.0,100.0,2.8463721,21.068459,326.853,38.519997,0.0,85.0,2.1000001,0.0
2025-05-16 05:00:00+00:00,7.0655003,86.0,100.0,2.8350873,20.49156,341.56494,40.32,0.0,83.0,0.7,0.0
2025-05-16 06:00:00+00:00,6.2655,82.0,99.0,1.459857,22.42427,354.47253,38.519997,0.0,70.0,0.6,0.0
2025-05-16 07:00:00+00:00,6.1655,78.0,95.0,1.3540449,21.434364,7.7217383,39.96,0.0,15.0,0.0,0.0
2025-05-16 08:00:00+00:00,7.0655003,68.0,96.0,2.0399356,21.626984,2.8623457,42.12,0.0,10.0,0.0,0.0
2025-05-16 09:00:00+00:00,8.315499,64.0,95.0,3.592289,19.959719,7.253105,43.56,0.0,3.0,0.0,0.0
2025-05-16 10:00:00+00:00,8.6154995,62.0,78.0,3.7976618,20.418695,9.13011,39.239998,0.0,0.0,0.0,0.0
2025-05-16 11:00:00+00:00,9.565499,56.0,100.0,4.717619,21.046917,12.8477125,39.6,0.0,0.0,0.0,0.0
2025-05-16 12:00:00+00:00,9.7155,58.0,100.0,5.4504986,16.75064,8.652461,40.32,0.0,0.0,0.0,0.0
2025-05-16 13:00:00+00:00,9.3654995,64.0,100.0,5.4722767,15.496736,2.6629453,31.68,0.0,3.0,0.0,0.0
2025-05-16 14:00:00+00:00,9.065499,68.0,100.0,5.438854,14.408997,347.00537,30.960001,0.0,5.0,0.0,0.0
2025-05-16 15:00:00+00:00,8.7655,66.0,100.0,5.3127785,12.303366,339.44388,28.8,0.0,15.0,0.0,0.0
2025-05-16 16:00:00+00:00,8.065499,71.0,100.0,4.478488,13.684735,324.63745,25.199999,0.0,30.0,0.0,0.0
2025-05-16 17:00:00+00:00,6.8655,79.0,100.0,3.504219,12.594856,300.96368,25.199999,0.0,65.0,0.2,0.0
2025-05-16 18:00:00+00:00,5.9655004,86.0,100.0,3.4003582,7.5685663,267.27374,22.68,0.0,85.0,0.6,0.0
2025-05-16 19:00:00+00:00,6.0155,93.0,100.0,3.631765,7.9526596,264.80566,16.919998,0.0,93.0,0.8,0.0
2025-05-16 20:00:00+00:00,6.8655,93.0,100.0,4.133333,11.592894,306.15826,20.519999,0.0,98.0,1.3,0.0
2025-05-16 21:00:00+00:00,7.2155004,91.0,100.0,3.5985231,17.709658,333.43503,32.399998,0.0,100.0,0.90000004,0.0
2025-05-16 22:00:00+00:00,6.9155,88.0,100.0,2.7235475,20.49156,341.56494,37.44,0.0,85.0,0.0,0.0
2025-05-16 23:00:00+00:00,4.9655004,89.0,99.0,0.5854945,19.35314,43.492626,41.399998,0.0,70.0,0.2,0.0
2025-05-17 00:00:00+00:00,4.1155,88.0,88.0,0.15829563,15.192682,36.326923,36.36,0.0,58.0,0.0,0.0
2025-05-17 01:00:00+00:00,3.8655,89.0,98.0,0.7957182,9.0,360.0,26.64,0.0,35.0,0.0,0.0
2025-05-17 02:00:00+00:00,4.4155,90.0,100.0,1.3728075,9.686609,318.01288,17.28,0.0,18.0,0.0,0.0
2025-05-17 03:00:00+00:00,4.6155,90.0,61.0,1.21206,12.413477,330.4613,22.68,0.0,10.0,0.0,0.0
2025-05-17 04:00:00+00:00,4.9155,91.0,83.0,1.5267868,12.904882,329.8587,24.119999,0.0,15.0,0.0,0.0
2025-05-17 05:00:00+00:00,5.8155003,88.0,100.0,2.299367,14.33234,334.72232,29.88,0.0,28.0,0.0,0.0
2025-05-17 06:00:00+00:00,6.4155,84.0,100.0,2.776431,15.077082,326.68936,32.039997,0.0,50.0,0.0,0.0
2025-05-17 07:00:00+00:00,6.8155003,83.0,99.0,2.7165537,18.532133,335.9245,34.56,0.0,68.0,0.3,0.0
2025-05-17 08:00:00+00:00,6.8155003,86.0,100.0,2.962151,17.555305,344.53873,34.2,0.0,80.0,1.1,0.0
2025-05-17 09:00:00+00:00,7.2655,82.0,100.0,3.7099667,15.175612,337.69376,31.68,0.0,90.0,0.70000005,0.0
2025-05-17 10:00:00+00:00,7.8155003,83.0,100.0,4.933752,11.570515,5.3557334,29.88,0.0,93.0,0.1,0.0
2025-05-17 11:00:00+00:00,8.2655,84.0,86.0,5.322031,12.904882,22.988754,31.68,0.0,90.0,0.4,0.0
2025-05-17 12:00:00+00:00,7.8155003,79.0,86.0,4.114279,16.179985,20.854538,30.960001,0.0,93.0,0.0,0.0
2025-05-17 13:00:00+00:00,8.7155,76.0,100.0,4.89295,17.462782,14.322761,34.2,0.0,83.0,0.0,0.0
2025-05-17 14:00:00+00:00,8.065499,79.0,100.0,4.4323425,16.055353,19.653913,32.039997,0.0,83.0,0.0,0.0
2025-05-17 15:00:00+00:00,7.7655,81.0,100.0,4.2948856,15.034041,16.699326,28.8,0.0,80.0,0.0,0.0
2025-05-17 16:00:00+00:00,7.6655,85.0,100.0,4.432706,14.264361,10.175456,28.08,0.0,55.0,0.0,0.0
2025-05-17 17:00:00+00:00,7.4155,84.0,92.0,4.0977917,14.24163,20.72564,27.72,0.0,40.0,0.0,0.0
2025-05-17 18:00:00+00:00,7.1155,86.0,93.0,4.112712,12.144331,11.976112,26.28,0.0,25.0,0.0,0.0
2025-05-17 19:00:00+00:00,6.5155,89.0,100.0,3.736867,10.464798,356.0549,21.599998,0.0,38.0,0.0,0.0
2025-05-17 20:00:00+00:00,6.4155,90.0,100.0,3.4561377,11.792404,347.66092,21.599998,0.0,53.0,0.0,0.0
2025-05-17 21:00:00+00:00,6.1155,92.0,100.0,3.3038669,10.805998,330.01843,21.24,0.0,58.0,0.3,0.0
